prompt_type;temperature;generation;task
few_shot;0,9;2;Use the validation and correction feature to mark a randomly selected cell classification as “Incorrect” and correct it by selecting a new class and providing a reason for the correction.
few_shot;0,9;3;Evaluate the accuracy of the classification of a cell as 'muciparous' and suggest corrections if the classification is incorrect.
few_shot;0,9;3;Review the classification of a cell as 'ciliated' and correct any misclassifications, providing explanations for the changes.
few_shot;0,9;3;Validate the automatic classification of epithelial cells and correct errors, if any.
few_shot;0,9;3;Check the classification of a cell as 'mast cells' and correct any incorrect classifications, providing reasons for the changes.
few_shot;0,9;3;Review the display of test results, including the type of cell, number of detected cells, reference range, and classification of quantity. Ensure that the results are accurate and correct any errors.
few_shot;0,9;3;Identify a cell that has been misclassified and correct the classification, providing explanations for the change.
few_shot;0,9;3;Evaluate the confidence level of a cell's classification (low, medium, high) and correct any incorrect classifications.
few_shot;0,9;3;Review the classified cell images, including those with low, medium, and high confidence levels, and correct any incorrect classifications.
few_shot;0,9;4;Check the table of test results to ensure that the number of detected cells for class ‘‘muciparous’’ cells is accurate.
few_shot;0,9;4;Review the classified cell images and verify that they are correctly categorized by confidence level (low, medium, high).
few_shot;0,9;4;Validate the classification of 5 randomly selected cells and correct any errors, providing explanations for the corrections.
few_shot;0,9;4;Ensure that the dashboard provides a clear overview of the classification results, including the type of cell, number of detected cells, and reference range.
few_shot;0,9;4;Identify and correct any misclassifications in the class ‘‘ciliated’’ cells, providing explanations for the corrections.
few_shot;0,9;6;Identify the types of cells automatically detected in a test and assess the accuracy of the classifications.
few_shot;0,9;6;Review the confidence levels assigned to the classification of epithelial cells and assess their reliability.
few_shot;0,9;6;Check the table displaying test results for any discrepancies or errors in cell quantity classification.
few_shot;0,9;6;Validate the classification of an image with low confidence level, providing reasons for any corrections.
few_shot;0,9;6;Compare the classification of ciliated cells on the dashboard with the reference range provided and correct errors, if any.
few_shot;0,9;6;Assess the accuracy of mast cell classification and correct misclassifications, if any.
few_shot;0,9;7;Check the classification of class ‘‘muciparous’’ cells and correct errors, if any.
few_shot;0,9;7;Identify cells misclassified in class ‘‘ciliated’’ and correct misclassifications and explanations, if any.
few_shot;0,9;7;Validate the classification of a set of cells with a low confidence level and provide reasons for correcting the original classification.
few_shot;0,9;7;Use the dashboard to view the test results and verify the accuracy of cell counts and classification quantities.
few_shot;0,9;7;Correct the classification of a single cell marked as ‘‘Incorrect’’ and provide a justification for the new classification.
few_shot;0,9;7;Compare the original classification and explanations with the corrected ones to ensure understanding of the model's limitations and suggestions for improvement.
few_shot;0,8;1;Identify cells with incorrect classifications in the dashboard view and correct misclassifications, providing explanations for the corrections.
few_shot;0,8;1;Check the types of cells automatically identified in the image and verify that the classification of each cell is correct, correcting errors if necessary.
few_shot;0,8;1;Review the classification table to ensure that the reference range and cell quantity classification are accurate, and correct any discrepancies found.
few_shot;0,8;1;Verify that the system correctly displays classified cell images, categorized by confidence level, and confirm that the images are properly linked to their corresponding classifications.
few_shot;0,8;1;"Use the system's validation and correction features to mark classifications as ""Correct"" or ""Incorrect"", and provide reasons for any corrections made."
few_shot;0,8;10;"As a doctor specialized in rhinocytology, validate the classification of a given cell image as ""muciparous"" and correct any errors, if present, providing explanations for the correction."
few_shot;0,8;10;"Review the classified cells on the dashboard and identify a cell that has been misclassified as ""ciliated"". Correct the misclassification and provide a justification for the change."
few_shot;0,8;10;"Verify the accuracy of the automated classification of ""eosinophils"" cells and correct any incorrect classifications, if any."
few_shot;0,8;10;Explore the classified cell images with low confidence levels and correct any misclassifications, providing explanations for the corrections.
few_shot;0,8;10;Check the table showing the type of cell, number of detected cells, reference range, and classification of their quantity, and validate the accuracy of the information provided.
few_shot;0,8;2;Check the classification of class ‘‘muciparous’’ cells and correct errors, if any.
few_shot;0,8;2;Identify cells misclassified in class ‘‘ciliated’’ and correct misclassifications and explanations, if any.
few_shot;0,8;2;Validate the automatic classification of at least 5 different cell types on the dashboard, providing feedback where necessary.
few_shot;0,8;2;Compare the reference ranges provided by the system for each cell type with the rhinocytologist's own reference ranges, and correct any discrepancies.
few_shot;0,8;2;Review the classified cell images and provide feedback on the accuracy of the system's classification, specifically for low-confidence classifications.
few_shot;0,8;2;Use the system to identify and correct any inconsistencies in cell classification across multiple images of the same sample.
few_shot;0,8;2;Assess the system's ability to detect and classify rare or unusual cell types, and provide feedback on the accuracy of these classifications.
few_shot;0,8;7;"As a doctor specializing in rhinocytology, review the classification of a cell marked as ""muciparous"" and correct errors, if any."
few_shot;0,8;7;"Identify cells that are misclassified in class ""ciliated"" and correct misclassifications and explanations, if any."
few_shot;0,8;7;"Validate the classification of a cell marked as ""red blood cells"" and provide a reason why the system's classification is incorrect."
few_shot;0,8;7;Review the table showing the type of cell, number of detected cells, reference range, and classification of their quantity, and identify any discrepancies or errors.
few_shot;0,8;7;Use the classified cell images to validate the system's classification and correct any errors, providing explanations for the corrections.
few_shot;0,8;7;"Attempt to correct the classification of a cell marked as ""metaplastic"" and understand the reasons for the system's initial classification."
few_shot;0,8;7;Explore the system's ability to display classified cell images categorized by confidence level (low, medium, high) and use this information to validate or correct classifications.
few_shot;0,8;8;Check the classification of ciliated cells in an image and correct any errors, if present.
few_shot;0,8;8;Evaluate the accuracy of the system's automatic classification of epithelial cells and correct any incorrect classifications.
few_shot;0,8;8;Review the dashboard to understand the overall performance of the system in identifying and classifying various cell types.
few_shot;0,8;8;Go through the table displaying test results and assess the system's ability to provide accurate counts and references for each cell type.
few_shot;0,8;8;Identify a cell type with low confidence classification and assess the system's ability to provide an explanation for the classification.
few_shot;0,8;8;Correct a previously incorrect classification of a mast cell and provide a reason for the mistake.
few_shot;0,8;9;"Identify and correct a cell that has been misclassified as a ""mucus-producing cell"" when it is actually a ""mast cell""."
few_shot;0,8;9;"Review the classification of a cell labeled as ""low-confidence"" and verify that the correct classification is provided."
few_shot;0,8;9;"Correct the classification of a cell that was incorrectly classified as a ""ciliated cell"" when it is actually a ""metaplastic cell""."
few_shot;0,8;9;"Validate the number of detected ""epithelial cells"" in a test result and ensure it matches the actual count."
few_shot;0,8;9;"Confirm that the classified images of ""red blood cells"" are accurately displayed with their corresponding confidence levels."
few_shot;0,8;9;"Find and correct a cell that has been incorrectly classified as a ""lymphocyte"" when it is actually a ""neutrophil""."
few_shot;0,8;9;Review the test results and verify that the reference ranges for cell quantities are accurate.
few_shot;0,8;9;"Correct the classification of a cell that was incorrectly labeled as ""artifacts"" when it is actually a ""bacteria""."
few_shot;0,8;9;"Verify that the system correctly identifies and displays ""eosinophils"" in the classified cell images."
few_shot;0,8;9;"Identify and correct a cell that has been misclassified as a ""metaplastic cell"" when it is actually a ""mast cell""."
few_shot;0,8;9;"Confirm that the system allows for accurate validation and correction of classifications for ""ciliated cells""."
few_shot;0,7;1;Check the classification of class ‘‘muciparous’’ cells and correct errors, if any.
few_shot;0,7;1;Identify cells misclassified in class ‘‘ciliated’’ and correct misclassifications and explanations, if any.
few_shot;0,7;1;Review the dashboard to ensure that the displayed information is accurate and complete.
few_shot;0,7;1;Validate the classification of a cell image and mark it as “Correct” or “Incorrect” if necessary.
few_shot;0,7;1;Correct the classification of a cell image by selecting a new class and providing reasons why the original classification was wrong.
few_shot;0,7;1;Verify that the reference range for the detected cells is displayed correctly.
few_shot;0,7;1;Examine the classified cell images categorized by confidence level (low, medium, high) to ensure that they are accurate and complete.
few_shot;0,7;1;Check the number of detected cells and ensure that it is accurate.
few_shot;0,7;1;Validate the explanation provided by the system for the classification of a cell and correct it if necessary.
few_shot;0,7;6;"Check the classification of a ""muciparous"" cell and verify that the reference range is correctly displayed."
few_shot;0,7;6;"Identify a misclassified ""ciliated"" cell and correct the classification, providing a reason for the correction."
few_shot;0,7;6;Browse the dashboard to understand the overall test results, including the type of cell, number of detected cells, and classification of their quantity.
few_shot;0,7;6;"Validate the classification of a ""lymphocyte"" cell as ""Correct"" or ""Incorrect"" and, if incorrect, correct it by selecting a new class and providing a reason for the correction."
few_shot;0,7;6;Review the classified cell images, categorized by confidence level, to understand the system's accuracy.
few_shot;0,7;7;Check the classification of class ‘‘muciparous’’ cells and correct errors, if any.
few_shot;0,7;7;Identify cells misclassified in class ‘‘ciliated’’ and correct misclassifications and explanations, if any.
few_shot;0,7;7;Review the table showing the type of cell, the number of detected cells, the reference range, and a classification of their quantity. Is the information accurate?
few_shot;0,7;7;View the classified cell images categorized by confidence level (low, medium, high). Are the images clear and easy to understand?
few_shot;0,7;7;Mark the classification of cells as “Correct” or “Incorrect” and correct it if necessary. Provide reasons why the original classification was wrong.
few_shot;0,7;7;Try to reconfigure the model by correcting explanations and validating classifications. Does the system provide sufficient feedback to support this process?
few_shot;0,7;8;Check the classification of a cell and correct any errors if the classification is incorrect.
few_shot;0,7;8;"Validate the classification of a cell as ""Correct"" or ""Incorrect"" and provide a reason for the classification."
few_shot;0,7;8;Review the classified cell images and identify any misclassifications.
few_shot;0,7;8;Correct the classification of a cell by selecting a new class and providing a reason for the correction.
few_shot;0,7;8;Validate the system's classification of a group of cells and identify any errors or misclassifications.
few_shot;0,7;8;Review the test results table and identify any discrepancies between the system's classification and the user's validation.
few_shot;0,7;8;Correct the classification of a cell with low confidence level and provide a reason for the correction.
few_shot;0,7;8;Validate the system's classification of a specific cell type (e.g., muciparous cells) and correct any errors if found.
few_shot;0,7;9;Go to the dashboard and check the test results table, paying attention to the columns showing cell types and quantities.
few_shot;0,7;9;"Identify a cell in the ""classified cells"" page that was classified with low confidence and try to understand why it was classified that way."
few_shot;0,7;9;"Go to the ""classified cells"" page and validate the classification of a cell that was correctly identified as an ""eosinophil""."
few_shot;0,7;9;Find a cell that was misclassified and try to correct the classification by selecting a new class and providing a reason why the original classification was incorrect.
few_shot;0,7;9;Review the table showing classified cells and check that the quantities are correctly displayed for each cell type.
few_shot;0,6;1;"Explore the classified cells table and identify the number of cells classified as ""muciparous"" and check if there are any errors in the classification, if so, correct them."
few_shot;0,6;1;"Review the classified cell images and identify cells that were misclassified as ""ciliated"" and correct the misclassifications, providing explanations for the corrections."
few_shot;0,6;1;"Validate the automatic classification of a ""red blood cell"" and correct any errors, if present."
few_shot;0,6;1;Check the test results table and ensure that the reference range for each cell type is displayed correctly.
few_shot;0,6;1;"Review the classified cell images and provide reasons for correcting the classification of a ""lymphocyte"" that was originally misclassified."
few_shot;0,6;1;"Identify and correct any errors in the classification of ""metaplastic cells"" in the classified cells table."
few_shot;0,6;2;"Validate the classification of a cell marked as ""muciparous"" and correct errors, if any."
few_shot;0,6;2;"Check the classification of a cell classified as ""ciliated"" and identify any misclassifications or incorrect explanations."
few_shot;0,6;2;"Review the reference range for the number of detected ""eosinophils"" cells and ensure it is accurate."
few_shot;0,6;2;"Verify the confidence level of a cell classified as ""lymphocyte"" and ensure it is correctly displayed."
few_shot;0,6;2;Browse through the classified cell images and ensure they are accurately categorized by confidence level.
few_shot;0,6;2;"Validate the classification of a cell marked as ""epithelial"" and correct errors, if any."
few_shot;0,6;2;"Identify and correct any misclassifications of ""mast cells"" and provide explanations for the incorrect classifications."
few_shot;0,6;4;"Check the classification of a cell marked as ""muciparous"" and correct errors, if any."
few_shot;0,6;4;"Identify cells misclassified in class ""ciliated"" and correct misclassifications and explanations, if any."
few_shot;0,6;4;Review the table showing the type of cell, the number of detected cells, the reference range, and a classification of their quantity, and ensure it is accurate.
few_shot;0,6;4;"Validate the automatic classification of a cell image, marking it as ""Correct"" or ""Incorrect"" and providing reasons why the original classification was wrong, if necessary."
few_shot;0,6;4;"Use the ""classified cell images"" feature to visualize a cell image and ensure it is correctly classified."
few_shot;0,6;4;Navigate to the dashboard and understand the overall layout and organization of the system's output.
few_shot;0,6;8;Check the classification of class ‘‘muciparous’’ cells and correct errors, if any.
few_shot;0,6;8;Identify cells misclassified in class ‘‘ciliated’’ and correct misclassifications and explanations, if any.
few_shot;0,6;8;Review the test results table and verify that the type of cell, number of detected cells, reference range, and classification of quantity are correctly displayed for a specific cell type.
few_shot;0,6;8;Examine the classified cell images and verify that they are correctly categorized by confidence level (low, medium, high).
few_shot;0,6;8;"Validate the system's classification of a cell as ""Correct"" or ""Incorrect"" and, if incorrect, correct it by selecting a new class and providing reasons why the original classification was wrong."
few_shot;0,6;8;Compare the system's automatic classification with the correct classification and identify any discrepancies, then correct the misclassifications and provide explanations.
few_shot;0,6;9;Check the classification of class ‘‘muciparous’’ cells and correct errors, if any.
few_shot;0,6;9;Identify cells misclassified in class ‘‘ciliated’’ and correct misclassifications and explanations, if any.
few_shot;0,6;9;Review the test results table to ensure that the number of detected cells and their classification are accurate.
few_shot;0,6;9;Browse through the classified cell images and verify that they are correctly categorized by confidence level (low, medium, high).
few_shot;0,6;9;Validate the automatic classification of 5 random cells and correct any incorrect classifications, providing reasons for the corrections.
few_shot;0,5;10;Check the classification of class ‘‘muciparous’’ cells and correct errors, if any.
few_shot;0,5;10;Identify cells misclassified in class ‘‘ciliated’’ and correct misclassifications and explanations, if any.
few_shot;0,5;10;Review the results of the automatic cell classification and validate the classification of 5 randomly selected cells.
few_shot;0,5;10;Compare the confidence levels of 3 cell classifications and explain why you would or would not trust the system's classification.
few_shot;0,5;10;Correct the classification of a cell that was misclassified as ‘‘red blood cell’’ and provide a reason for the correction.
few_shot;0,5;10;Verify that the system is displaying the correct reference range for a specific cell type and correct it if necessary.
few_shot;0,5;2;Check the classification of class ‘‘muciparous’’ cells and correct errors, if any.
few_shot;0,5;2;Identify cells misclassified in class ‘‘ciliated’’ and correct misclassifications and explanations, if any.
few_shot;0,5;2;Review the table showing the type of cell, the number of detected cells, the reference range, and a classification of their quantity for accuracy.
few_shot;0,5;2;Validate the classification of a cell with low confidence level and provide a reason for correction, if necessary.
few_shot;0,5;2;Compare the classified cell images with the original images from the microscope to ensure accuracy.
few_shot;0,5;2;Correct a cell misclassified as ‘‘metaplastic’’ and provide a reason for the correction.
few_shot;0,5;2;Check the system's ability to detect and classify ‘‘eosinophils’’ and correct errors, if any.
few_shot;0,5;2;Review the dashboard to ensure that all classified cells are accurately displayed and categorized by confidence level.
few_shot;0,5;4;Check the classification of class 'muciparous' cells and correct errors, if any.
few_shot;0,5;4;Identify cells misclassified in class 'ciliated' and correct misclassifications and explanations, if any.
few_shot;0,5;4;Review the test results table and verify the accuracy of the cell counts and reference ranges.
few_shot;0,5;4;Browse through the classified cell images and examine the confidence levels assigned to each image.
few_shot;0,5;4;"Validate the classification of a specific cell image and mark it as ""Correct"" or ""Incorrect"" if necessary."
few_shot;0,5;4;Correct the classification of a cell image and provide a reason for the change.
few_shot;0,5;4;Examine the dashboard to understand the overall performance of the system and identify areas for improvement.
few_shot;0,5;9;Check the classification of class ‘‘muciparous’’ cells and correct errors, if any.
few_shot;0,5;9;Identify cells misclassified in class ‘‘ciliated’’ and correct misclassifications and explanations, if any.
few_shot;0,5;9;Review the table showing the type of cell, the number of detected cells, the reference range, and a classification of their quantity to ensure accuracy.
few_shot;0,5;9;Validate the classification of a cell image with a low confidence level and try to correct it.
few_shot;0,5;9;Compare the classified cell images with the original images to identify any discrepancies.
few_shot;0,5;9;Use the dashboard to navigate to a specific cell classification and review the corresponding image and classification.
few_shot;0,5;9;Try to correct a cell classification that was marked as incorrect by the system and provide a reason for the correction.
few_shot;0,4;1;"As a rhinocytologist, validate the classification of a cell marked as ""muciparous"" and correct any errors, providing a reason for the correction."
few_shot;0,4;1;Review the table displaying test results and identify any discrepancies in the number of detected cells or reference range for a specific cell type.
few_shot;0,4;1;"Examine the classified cell images, categorized by confidence level, and identify any cells that may have been misclassified as ""ciliated""."
few_shot;0,4;1;"Mark a cell classification as ""Incorrect"" and correct it by selecting a new class, providing a reason for the correction, and reconfiguring the model accordingly."
few_shot;0,4;1;Use the system's features to validate and correct the explanations for a set of automatically classified cells, ensuring that the corrected classifications are accurate and consistent.
few_shot;0,4;10;Check the classification of class ‘‘muciparous’’ cells and correct errors, if any.
few_shot;0,4;10;Identify cells misclassified in class ‘‘ciliated’’ and correct misclassifications and explanations, if any.
few_shot;0,4;10;Review the test results table and ensure that the number of detected cells and reference range are accurate.
few_shot;0,4;10;Validate the classification of a cell with low confidence level and provide a reason for the correction, if necessary.
few_shot;0,4;10;Compare the classified cell images with the original image and identify any discrepancies.
few_shot;0,4;10;Use the dashboard to navigate to a specific cell classification and verify that the correct classification is displayed.
few_shot;0,4;2;Check the classification of class ‘‘muciparous’’ cells and correct errors, if any.
few_shot;0,4;2;Identify cells misclassified in class ‘‘ciliated’’ and correct misclassifications and explanations, if any.
few_shot;0,4;2;Verify that the system displays the correct reference range for a specific type of cell.
few_shot;0,4;2;Review the classified cell images and ensure that the confidence level is accurately displayed.
few_shot;0,4;2;Validate the system's automatic classification of a specific cell type and correct any errors.
few_shot;0,4;2;Use the dashboard to access classified cell images and verify that they are correctly categorized by confidence level.
few_shot;0,4;2;Check the system's table displaying the type of cell, number of detected cells, reference range, and classification of quantity for accuracy.
few_shot;0,4;3;Check the classification of class ‘‘muciparous’’ cells and correct errors, if any.
few_shot;0,4;3;Identify cells misclassified in class ‘‘ciliated’’ and correct misclassifications and explanations, if any.
few_shot;0,4;3;Review the test results table and verify that the type of cell, number of detected cells, reference range, and classification of quantity are accurate.
few_shot;0,4;3;Browse through the classified cell images, categorized by confidence level, and identify any images that may have been misclassified.
few_shot;0,4;3;Select a cell image that has been incorrectly classified and correct the classification, providing a reason for the correction.
few_shot;0,4;3;Use the dashboard to navigate to a specific section of the test results and verify that the data is displayed correctly.
few_shot;0,4;7;Identify and correct the classification of cells in the image with incorrect classification.
few_shot;0,4;7;Review the test results table and verify that the reference range is accurate for the detected cells.
few_shot;0,4;7;Check the classified cell images and ensure that the confidence level is correctly displayed for each cell type.
few_shot;0,4;7;"Validate the classification of a set of cells as ""Correct"" or ""Incorrect"" and provide reasons for any incorrect classifications."
few_shot;0,4;7;Compare the system's automatic classification with the reference classification and correct any discrepancies.
few_shot;0,4;7;Review the dashboard to ensure that all detected cells are accounted for in the test results table.
few_shot;0,4;8;"Check the classification of cells in a nasal cytological preparation and correct errors, if any, in the ""muciparous"" cell classification."
few_shot;0,4;8;"Identify cells misclassified in the ""ciliated"" class and correct misclassifications and explanations, if any."
few_shot;0,4;8;Review the test results table and verify that the number of detected cells and the reference range are accurate.
few_shot;0,4;8;Browse through the classified cell images and verify that they are correctly categorized by confidence level (low, medium, high).
few_shot;0,4;8;"Validate the classification of a cell as ""Correct"" or ""Incorrect"" and provide a reason for correcting an incorrect classification."
few_shot;0,4;8;Use the system's features to reconfigure the model based on corrected explanations.
few_shot;0,3;1;"Identify and correct the classification of cells that were misclassified in the ""classified-cells-wrong.png"" screenshot."
few_shot;0,3;1;"Review the test results displayed in the ""dashboard.png"" screenshot and ensure that the types of cells, number of detected cells, reference range, and classification of their quantity are accurate."
few_shot;0,3;1;"Validate the classification of cells in the ""classified-cells-correct.png"" screenshot and mark any incorrect classifications."
few_shot;0,3;1;Use the system to access and view the classified cell images, categorized by confidence level, and ensure that the images are correctly labeled.
few_shot;0,3;1;"Correct the classification of a cell that was incorrectly identified in the ""classified-cells-wrong.png"" screenshot, providing a reason for the correction."
few_shot;0,3;10;Check the classification of class ‘‘muciparous’’ cells and correct errors, if any.
few_shot;0,3;10;Identify cells misclassified in class ‘‘ciliated’’ and correct misclassifications and explanations, if any.
few_shot;0,3;10;Review the table showing the type of cell, the number of detected cells, the reference range, and the classification of their quantity. Are the reference ranges accurate?
few_shot;0,3;10;Examine the classified cell images, categorized by confidence level (low, medium, high). Are the images correctly classified?
few_shot;0,3;10;Validate the classification of a cell as “Correct” or “Incorrect”. If incorrect, correct it by selecting a new class and provide reasons why the original classification was wrong.
few_shot;0,3;10;Use the system to identify and classify a cell that is not clearly visible in the image. Is the classification accurate?
few_shot;0,3;10;Compare the automatic classifications provided by the system with your own expertise. Are there any discrepancies? If so, correct the classifications and provide explanations.
few_shot;0,3;3;Check the classification of class ‘‘muciparous’’ cells and correct errors, if any.
few_shot;0,3;3;Identify cells misclassified in class ‘‘ciliated’’ and correct misclassifications and explanations, if any.
few_shot;0,3;3;Review the table displaying test results and verify that it accurately shows the type of cell, number of detected cells, reference range, and classification of their quantity.
few_shot;0,3;3;Browse through the classified cell images, categorized by confidence level (low, medium, high), and assess their accuracy.
few_shot;0,3;3;Select a cell image and validate its classification as “Correct” or “Incorrect”, and if incorrect, correct it by selecting a new class and providing reasons why the original classification was wrong.
few_shot;0,3;3;Use the dashboard to navigate through different sections of the system and ensure that it provides easy access to the main functionalities.
few_shot;0,3;4;Check the classification of class ‘‘muciparous’’ cells and correct errors, if any.
few_shot;0,3;4;Identify cells misclassified in class ‘‘ciliated’’ and correct misclassifications and explanations, if any.
few_shot;0,3;4;Review the dashboard to understand the overall classification results and identify any potential issues with the model.
few_shot;0,3;4;Compare the classified cell images with the original image to verify the accuracy of the classification.
few_shot;0,3;4;Validate the classification of a cell as ‘‘lymphocyte’’ and provide reasons for any corrections.
few_shot;0,3;4;Identify a cell that was incorrectly classified and provide a clear explanation for the correct classification.
few_shot;0,3;4;Review the test results table to ensure that the number of detected cells and reference ranges are accurate.
few_shot;0,3;4;Access the classified cell images categorized by confidence level and verify that the images are correctly labeled.
few_shot;0,3;5;"As a doctor specialized in rhinocytology, you are presented with a classification of cells as ""muciparous"" with a low confidence level. Review the classification and correct any errors, if necessary."
few_shot;0,3;5;You are shown a table displaying the test results, including the type of cell, number of detected cells, reference range, and classification of quantity. Identify any discrepancies in the classification of cells and correct them, if necessary.
few_shot;0,3;5;You are presented with a classified cell image with a medium confidence level. Validate the classification and, if incorrect, correct it by selecting a new class and providing a reason why the original classification was wrong.
few_shot;0,3;5;Review the dashboard to ensure that it provides all the necessary information for validation and correction of classifications. Identify any missing or unclear information that would hinder the validation and correction process.
few_shot;0,3;5;"You are shown a classification of cells as ""ciliated"" with a high confidence level. However, upon reviewing the image, you notice that the cell is actually a different type. Correct the classification and provide a reason why the original classification was incorrect."
few_shot;0,2;1;Check the classification of class ‘‘muciparous’’ cells and correct errors, if any.
few_shot;0,2;1;Identify cells misclassified in class ‘‘ciliated’’ and correct misclassifications and explanations, if any.
few_shot;0,2;1;Review the table on the dashboard to ensure that the number of detected cells and their classification are accurate.
few_shot;0,2;1;Verify that the classified cell images are correctly categorized by confidence level (low, medium, high).
few_shot;0,2;1;Correct the classification of a cell marked as “Incorrect” and provide a reason for the correction.
few_shot;0,2;1;Check that the reference range for each cell type is displayed correctly in the table on the dashboard.
few_shot;0,2;3;"As a rhinocytologist, review the classification of a cell marked as ""Incorrect"" in the classified cells table and provide a correct classification."
few_shot;0,2;3;"Check the confidence level of a cell classified as ""muciparous"" and verify if it is accurate."
few_shot;0,2;3;Review the test results table and identify any discrepancies between the automatically detected cell types and the expected reference range.
few_shot;0,2;3;"As a rhinocytologist, validate the classification of a cell marked as ""Correct"" in the classified cells table and provide a reason why the original classification was correct."
few_shot;0,2;3;Identify and correct any misclassifications of cells in the classified cells table, providing explanations for the corrections.
few_shot;0,2;3;Review the classified cell images and verify if the confidence levels assigned to each cell are accurate.
few_shot;0,2;3;As a rhinocytologist, use the dashboard to navigate to the classified cells table and identify any cells that require correction.
few_shot;0,2;6;Check the classification of class ‘‘muciparous’’ cells and correct errors, if any.
few_shot;0,2;6;Identify cells misclassified in class ‘‘ciliated’’ and correct misclassifications and explanations, if any.
few_shot;0,2;6;Review the test results table and verify that the reference range is accurate for the detected cells.
few_shot;0,2;6;Browse through the classified cell images and assess the confidence level of the automatic classification.
few_shot;0,2;6;Select a cell image with a low confidence level and validate its classification as “Correct” or “Incorrect”, providing a reason for any corrections.
few_shot;0,2;6;Compare the automatic classification of a cell with its corresponding image and identify any discrepancies.
few_shot;0,2;6;Use the dashboard to navigate through the different sections of the system and locate the classified cell images.
few_shot;0,2;6;Evaluate the accuracy of the automatic classification of a specific cell type (e.g., eosinophils) and provide feedback on any errors.
few_shot;0,2;7;Check the classification of class ‘‘muciparous’’ cells and correct errors, if any.
few_shot;0,2;7;Identify cells misclassified in class ‘‘ciliated’’ and correct misclassifications and explanations, if any.
few_shot;0,2;7;Review the test results table and verify that the number of detected cells and reference range are accurate.
few_shot;0,2;7;Browse through the classified cell images and evaluate the confidence level of each classification.
few_shot;0,2;7;Validate the classification of a cell as “Correct” or “Incorrect” and provide reasons for incorrect classifications.
few_shot;0,2;7;Correct the classification of a cell and provide explanations for the change.
few_shot;0,2;7;Use the dashboard to navigate through the application and access different features.
few_shot;0,2;7;Evaluate the display of test results and ensure that the information is clear and easy to understand.
few_shot;0,2;8;Check the classification of class ‘‘muciparous’’ cells and correct errors, if any.
few_shot;0,2;8;Identify cells misclassified in class ‘‘ciliated’’ and correct misclassifications and explanations, if any.
few_shot;0,2;8;Review the test results table and verify that it accurately displays the type of cell, number of detected cells, reference range, and classification of their quantity.
